,edit_count,sentiment,neg_sentiment
2018-01-18,5.833333333333333,-0.24777392115275645,0.5424001924001924
2018-01-19,5.766666666666667,-0.2879358347861031,0.5646224146224147
2018-01-20,5.933333333333334,-0.3212778703975736,0.5812890812890814
2018-01-21,5.766666666666667,-0.30297680741628596,0.5546224146224147
2018-01-22,5.933333333333334,-0.3117271805413623,0.5746224146224146
2018-01-23,5.8,-0.28695747699420243,0.5621224146224146
2018-01-24,5.866666666666666,-0.26501666220771525,0.5510113035113036
2018-01-25,6.166666666666667,-0.25784851248035306,0.5473075998075998
2018-01-26,6.266666666666667,-0.25917559216389535,0.5481409331409333
2018-01-27,6.3,-0.2635281706373649,0.5489345839345839
2018-01-28,6.5,-0.2698673688227028,0.5517123617123618
2018-01-29,6.433333333333334,-0.3138653168599563,0.573934583934584
2018-01-30,6.466666666666667,-0.34714733059413805,0.6072679172679173
2018-01-31,6.433333333333334,-0.38010407780813743,0.6072679172679173
2018-02-01,6.233333333333333,-0.3825911882374774,0.5906012506012507
2018-02-02,5.566666666666666,-0.4067216613896625,0.6017123617123619
2018-02-03,5.266666666666667,-0.3973719151551733,0.5971669071669072
2018-02-04,4.733333333333333,-0.3855265639564663,0.5921164021164022
2018-02-05,4.7,-0.3857614926836163,0.5921164021164022
2018-02-06,4.666666666666667,-0.41390332602871166,0.6087830687830689
2018-02-07,4.866666666666666,-0.4466534762589074,0.6421164021164022
2018-02-08,4.866666666666666,-0.4466534762589074,0.6421164021164022
2018-02-09,4.733333333333333,-0.42549534860663313,0.631005291005291
2018-02-10,4.733333333333333,-0.44029687095098397,0.6393386243386243
2018-02-11,4.5,-0.4026025967859717,0.6226719576719577
2018-02-12,4.3,-0.36589442774574593,0.6036243386243387
2018-02-13,4.166666666666667,-0.39011931901097924,0.616957671957672
2018-02-14,3.933333333333333,-0.36859595434217857,0.5883862433862436
2018-02-15,3.6666666666666665,-0.34581841087688214,0.5592195767195769
2018-02-16,3.6666666666666665,-0.3679830107226889,0.5717195767195768
2018-02-17,3.8333333333333335,-0.3778695421551586,0.5917195767195768
2018-02-18,3.9,-0.35525907183371525,0.5806084656084657
